,prompt,response
416,hey I guess it is a lot of pressure I mean I remember in high school my brother was like the good pop and he's older than me he would come back with bad grades and I would come off straight A's I'm so excited you know tell me about your day Ethan Anthony was just like give him all these pitches he did so bad the whole time I always wanted to shine [Music] maybe I do need to just relax and know that the day-to-day thing,do you feel like you've done involve thus far the semester your classes
417,do you feel like you've done involve thus far the semester your classes,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so
418,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good
419,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good,probably just do it talk about it but I guess it's just nice to know that
420,probably just do it talk about it but I guess it's just nice to know that,completion with that and going the holiday do you feel like when you do how do you feel stressful week
421,completion with that and going the holiday do you feel like when you do how do you feel stressful week,toy was always really really relaxing so I think that'll be good it's kind of like a reward for getting through it but then I have I mean these goodies won't need a week and I feel like we'll be doing a lot in preparation for my boyfriend coming for Christmas so it won't be everlasting back for three more weeks of school and then like columns here and no it's like breach I mean it should be
422,so it seems like you have a lot going on this week but you seem motivated and now to complete it and you have the break to look forward to but you said it so that sounds like you you're almost there you're going to make it so it's good hearing from you [Music],can you talk about the transformation that you see in people
423,can you talk about the transformation that you see in people,it's it keeps me coming back to work every day you know I get to see them walk in and I get to see that transformation slowly and it's beautiful you know you don't you can't beat that
424,it's it keeps me coming back to work every day you know I get to see them walk in and I get to see that transformation slowly and it's beautiful you know you don't you can't beat that,I mean realistically not everyone is a success story and we see its relapse it's a part of recovery but but for most cases though that difficult cases that do a good job and make that transformation when does that usually occur
425,I mean realistically not everyone is a success story and we see its relapse it's a part of recovery but but for most cases though that difficult cases that do a good job and make that transformation when does that usually occur,I think it's different for everyone I mean and we really can't tell who's going to make it by who has a better you know a bigger desire it's a journey and it's this process and so sometimes it happens where you see that light come on sometimes they're struggling and they're discharging and that's that's probably the most difficult part of the job is knowing that someone's not ready to be brought back to their environment and yet that's what has to happen you know it's a transitional period so
426,I think it's different for everyone I mean and we really can't tell who's going to make it by who has a better you know a bigger desire it's a journey and it's this process and so sometimes it happens where you see that light come on sometimes they're struggling and they're discharging and that's that's probably the most difficult part of the job is knowing that someone's not ready to be brought back to their environment and yet that's what has to happen you know it's a transitional period so,so they finished the first month of treatment and then it's time to go back to their life because they have to work or they have school or they have kids at home that's what you're talking about that's what's what's difficult or scary for you when they have to leave
427,so they finished the first month of treatment and then it's time to go back to their life because they have to work or they have school or they have kids at home that's what you're talking about that's what's what's difficult or scary for you when they have to leave,yeah because it's you know this is a family disease so when you know you leave that environment that was totally chaotic when you leave like the partner and the kids and the bills and the job and the everything and you remove yourself from that environment may you get popped back into it it's like the people around you assume that great you're finally home because now you can take care of the kids and pick up the you know dry cleaning and you know it's they expect you to be there the way you were and so much more and it's completely unrealistic and you know that they're not willing to change their behaviors if they're still going to be able to drink or have pills or whatever it is and it's it's not okay it's not safe and so that it's a difficult thing
428,yeah because it's you know this is a family disease so when you know you leave that environment that was totally chaotic when you leave like the partner and the kids and the bills and the job and the everything and you remove yourself from that environment may you get popped back into it it's like the people around you assume that great you're finally home because now you can take care of the kids and pick up the you know dry cleaning and you know it's they expect you to be there the way you were and so much more and it's completely unrealistic and you know that they're not willing to change their behaviors if they're still going to be able to drink or have pills or whatever it is and it's it's not okay it's not safe and so that it's a difficult thing,is there a strategy that you use that that that you have found to be successful in your experience with maybe that the problem cases are the harder cases
429,is there a strategy that you use that that that you have found to be successful in your experience with maybe that the problem cases are the harder cases,I think that's a common like idea is that oh the ones that have been through treatment a bunch are more difficult or those who have you know just been unsuccessful and they've tried or they've grown up in this environment or that environment and you know it's everyone is different that's why I I personally have a very eclectic approach to each individual and I work with a fantastic team that I can run things by you know people who have stronger knowledge base on certain things so I think everyone has to be approached individually
430,I think that's a common like idea is that oh the ones that have been through treatment a bunch are more difficult or those who have you know just been unsuccessful and they've tried or they've grown up in this environment or that environment and you know it's everyone is different that's why I I personally have a very eclectic approach to each individual and I work with a fantastic team that I can run things by you know people who have stronger knowledge base on certain things so I think everyone has to be approached individually,so I guess the message here is that the transition is really important yes the treatment facility is good you could need to go to the detoxification the group therapy but it's also that transition period in every facility I think has a an intensive outpatient program or a sober living environment or at least the referrals that you can get to that so it doesn't just stop after the 28 days it continues and that's I think what we're saying professionally here well actually leads us to the last our last show we we met with the girl named sunny and we're gonna do a flashback here but sunny was basically offered treatment and she she's knows so much about herself she's very good at saying exactly what she feels and she you could just see there was no hope there she basically said look I've been through these programs I helped run these programs I was a counselor and I was going into the bathroom and I was shooting up in the bathroom and I was going out and no one even knew it for weeks and weeks and weeks and so then at this point she's like well I'll try it but why bother at this point I'd been through it all I know myself and we've all been there where we knew ourselves we knew that nothing was going to stand the way of our using we wanted to stop but our head just check something happened in our brains and something happened with with our lives that all of a sudden we would go back to using again and she knew herself but is it always is anyone a lost cause that's it always worth it
431,so I guess the message here is that the transition is really important yes the treatment facility is good you could need to go to the detoxification the group therapy but it's also that transition period in every facility I think has a an intensive outpatient program or a sober living environment or at least the referrals that you can get to that so it doesn't just stop after the 28 days it continues and that's I think what we're saying professionally here well actually leads us to the last our last show we we met with the girl named sunny and we're gonna do a flashback here but sunny was basically offered treatment and she she's knows so much about herself she's very good at saying exactly what she feels and she you could just see there was no hope there she basically said look I've been through these programs I helped run these programs I was a counselor and I was going into the bathroom and I was shooting up in the bathroom and I was going out and no one even knew it for weeks and weeks and weeks and so then at this point she's like well I'll try it but why bother at this point I'd been through it all I know myself and we've all been there where we knew ourselves we knew that nothing was going to stand the way of our using we wanted to stop but our head just check something happened in our brains and something happened with with our lives that all of a sudden we would go back to using again and she knew herself but is it always is anyone a lost cause that's it always worth it,absolutely
432,absolutely,my wife Sonny had a period of sobriety and she relapse back in May we have a small child we have two and a half year old son
433,my wife Sonny had a period of sobriety and she relapse back in May we have a small child we have two and a half year old son,there's always another chance no matter how bad it gets is it possible can we talk to your
434,there's always another chance no matter how bad it gets is it possible can we talk to your,15 years and I put my step worth on the back burner and I went out I was shooting dope i was shooting heroin a meth in my neck every day and you know working and treatment trying to work there still you know and it's trying to go to this meeting and be secretary still high you know I said I wouldn't get high at work and you know that I'm trying to find a vein in the bathroom all night I had no mental defense against the needle I stole medication I went to sober living after so we're living I used there and i use there and i use there and i go on until i start doing things that are shady since i realized i've been able to put together more than a week
435,15 years and I put my step worth on the back burner and I went out I was shooting dope i was shooting heroin a meth in my neck every day and you know working and treatment trying to work there still you know and it's trying to go to this meeting and be secretary still high you know I said I wouldn't get high at work and you know that I'm trying to find a vein in the bathroom all night I had no mental defense against the needle I stole medication I went to sober living after so we're living I used there and i use there and i use there and i go on until i start doing things that are shady since i realized i've been able to put together more than a week,is there a willingness or you are you basically giving up
436,is there a willingness or you are you basically giving up,what's what's gonna do this time you know why is this place gonna be magical
437,what's what's gonna do this time you know why is this place gonna be magical,so what I'm asking you at this point will you give it one more shot and are you willing to go to treatment
438,so what I'm asking you at this point will you give it one more shot and are you willing to go to treatment,another
439,another,at this point what do we have to lose you know what's scary
440,at this point what do we have to lose you know what's scary,I get the all right
441,I get the all right,thank you so much for doing this i know that it hasn't been easy
442,thank you so much for doing this i know that it hasn't been easy,no problem
443,no problem,how are you doing first of all
444,how are you doing first of all,i'm doing excellent i feel great
445,i'm doing excellent i feel great,there was one part where we actually asked her it was cut out we said you know do you want to go to treatment she says
446,there was one part where we actually asked her it was cut out we said you know do you want to go to treatment she says,can I bring my cell phone like I don't know about that but you know I I you went to Spencer Recovery Center and I worked there so I'm able to see the transition as well I don't work in and him with you but Carrie does
447,can I bring my cell phone like I don't know about that but you know I I you went to Spencer Recovery Center and I worked there so I'm able to see the transition as well I don't work in and him with you but Carrie does,you know you you were honest about being a manipulator you were honest about the other programs you went to what's it like now for you what was it like what was different about this place
448,you know you you were honest about being a manipulator you were honest about the other programs you went to what's it like now for you what was it like what was different about this place,you know I'm not really sure but there is something different I mean I don't know if it's with me or just with my like a psychic kind of change you know going in there except not being out of maybe desperation but just out of my own choice just to be like all right I'm gonna do something different with my life this time and really try and then I had a hard time for a little bit and I really worked with Carrie like to address some of my other issues that might be going on you know other than if I'm relapsing that much maybe there's something else going on with me besides just my addiction you know
449,but you've worked hard it hasn't been easy,no it hasn't I've had some struggles like just mental struggles you know when you get back into mode to a relapse it's like or feel that feeling and then you know if to just pray on it and just like so something else can intervene and like besides yourself you know because i did and God stepped in and took those things away you know like because once you're in that mode it's very hard to once you're locked in a mode that you decided to use or like that you're getting feeling like you may want to it's very hard to get yourself out of that and I managed to pull myself out of that with the help of Spencer
450,no it hasn't I've had some struggles like just mental struggles you know when you get back into mode to a relapse it's like or feel that feeling and then you know if to just pray on it and just like so something else can intervene and like besides yourself you know because i did and God stepped in and took those things away you know like because once you're in that mode it's very hard to once you're locked in a mode that you decided to use or like that you're getting feeling like you may want to it's very hard to get yourself out of that and I managed to pull myself out of that with the help of Spencer,the transition that we see just on the outside as well I mean people at home need to see that because when you're working for a facility at one point shooting drugs into your neck and then your back at home wondering how am I everyone do this because every Center that I went to i manipulated it and I ended up pulling one over on them and Here I am again back at home shooting drugs or using suboxone or whatever it is that you were doing I like to just take a few minutes to have your your dad and you have a little boy come up and talk to them just for a fitting
451,the transition that we see just on the outside as well I mean people at home need to see that because when you're working for a facility at one point shooting drugs into your neck and then your back at home wondering how am I everyone do this because every Center that I went to i manipulated it and I ended up pulling one over on them and Here I am again back at home shooting drugs or using suboxone or whatever it is that you were doing I like to just take a few minutes to have your your dad and you have a little boy come up and talk to them just for a fitting,why miss Clark my name is Alan Lyme I'm a social worker at the Family Health Center dr. Sheila asked me if I would spend some time with you today I'm really glad that you here I'm just curious as to why he would send you to me
452,why miss Clark my name is Alan Lyme I'm a social worker at the Family Health Center dr. Sheila asked me if I would spend some time with you today I'm really glad that you here I'm just curious as to why he would send you to me,well I came to see dr. Steele last week because of increasing stress and anxiety that's kind of getting the best of me and in the course of my appointment with him he was asking how I was dealing with that stress and I mentioned that my one or two glasses of wine a few nights a week is turning into more frequent in maybe three or four on some nights and he had some concerns about that and and felt like maybe you could help me with stress or something
453,well I came to see dr. Steele last week because of increasing stress and anxiety that's kind of getting the best of me and in the course of my appointment with him he was asking how I was dealing with that stress and I mentioned that my one or two glasses of wine a few nights a week is turning into more frequent in maybe three or four on some nights and he had some concerns about that and and felt like maybe you could help me with stress or something,yeah so he he actually see me because he went to him for increased stress and he's concerned that your alcohol consumption may be a part of that increase and prior to prescribing you anything you want to make sure that you had someone to talk to about that
454,yeah so he he actually see me because he went to him for increased stress and he's concerned that your alcohol consumption may be a part of that increase and prior to prescribing you anything you want to make sure that you had someone to talk to about that,I suppose
455,I suppose,okay I saw you filled in one of the pink sheets might take a little bit
456,okay I saw you filled in one of the pink sheets might take a little bit,he told me to fill that out and bring it with me
457,he told me to fill that out and bring it with me,okay thank you so you say here that you have four or more drinks in one week you mentioned that you may be increasing that a little bit as well um and that you have one or two drinks in one setting
458,okay thank you so you say here that you have four or more drinks in one week you mentioned that you may be increasing that a little bit as well um and that you have one or two drinks in one setting,typically
459,typically,yeah and maybe monthly you have more than that what what's what kind of drinks do you have what do you drink we need to drive
460,yeah and maybe monthly you have more than that what what's what kind of drinks do you have what do you drink we need to drive,wine with my meals um you know again one or two typically and more frequently three or four so my stress is increased
461,wine with my meals um you know again one or two typically and more frequently three or four so my stress is increased,so starting to increase this times drink a little more okay well based on what you put here you give it gives you six points on this scale scale ranges from zero to forty so six points will put you in what we consider an at-risk zone so if it's okay with you lots to talk a bit about that
462,so starting to increase this times drink a little more okay well based on what you put here you give it gives you six points on this scale scale ranges from zero to forty so six points will put you in what we consider an at-risk zone so if it's okay with you lots to talk a bit about that,okay
463,okay,okay so that was sunset run zero to forty it's not it's not a super high risk but it certainly could be a risk for maybe increasing stress maybe some physical Emmas related to alcohol well could start to show up if you were to increase your drinking from there or you can stay there this is a typical standard drink size over here I'm not sure whether that fits your description of a glass of wine a lot
464,okay so that was sunset run zero to forty it's not it's not a super high risk but it certainly could be a risk for maybe increasing stress maybe some physical Emmas related to alcohol well could start to show up if you were to increase your drinking from there or you can stay there this is a typical standard drink size over here I'm not sure whether that fits your description of a glass of wine a lot,I fill the glass up so maybe a little more than
465,I fill the glass up so maybe a little more than,yeah maybe the little space that it's upside to drink drink and a half each one so that also increased a little bit more so perhaps maybe drinking more than you indicated on here and for women you healthy woman your age no more than three drinks in one setting is considered to be lower or no-risk and 1/7 in one week
466,yeah maybe the little space that it's upside to drink drink and a half each one so that also increased a little bit more so perhaps maybe drinking more than you indicated on here and for women you healthy woman your age no more than three drinks in one setting is considered to be lower or no-risk and 1/7 in one week,so in total
467,so in total,how much total in the week and what you say here is that even on this sheet you're perhaps already drinking more than that
468,how much total in the week and what you say here is that even on this sheet you're perhaps already drinking more than that,mmm
469,mmm,so what do you make of all that
470,so what do you make of all that,well that news to me you know I thought red wine with your meals is supposed to be healthy and you know no more than seven in a week that seems kind of prohibitive
471,well that news to me you know I thought red wine with your meals is supposed to be healthy and you know no more than seven in a week that seems kind of prohibitive,yeah it seems it seems a little less than perhaps you've been drinking with what you consider to be healthy drinking and certainly there's this conflicting information out there about what's healthy what's not healthy imagine the increased stresses what because we're concerned or to seal as your stresses increases and if you were to prescribe you anything maybe some interaction between the two but also build and serve them I would think so if you would what is it that you like about alcohol
472,yeah it seems it seems a little less than perhaps you've been drinking with what you consider to be healthy drinking and certainly there's this conflicting information out there about what's healthy what's not healthy imagine the increased stresses what because we're concerned or to seal as your stresses increases and if you were to prescribe you anything maybe some interaction between the two but also build and serve them I would think so if you would what is it that you like about alcohol,well you know it does at least in the moment temporarily reduce my stress and I you know like a good glass of wine I don't don't drink the cheap stuff I like the expensive what
473,so you like the taste of it mm-hmm and it does help to lower the stress signal which is for that time you're drinking one of those so good things about alcohol for you,um well you know the nights that maybe I have a couple more glasses than I should I wake up feeling kind of yuck and of course part of my stress is finances and I mentioned I like the good stuff and so if I'm drinking more than I'm increasing my financial burden
474,yeah so your financial stress may be increased by the fact that you're drinking,yeah kind of defeating the purpose there
475,yeah kind of defeating the purpose there,22 the drinking to do stress and increasing stresses so the one hand it lowers it on the other hand it's increasing kind of a seesaw teeter-totter effect then what do you make of that give them that on one hand it lowers and the other had it increases and now it's increasing even more
476,22 the drinking to do stress and increasing stresses so the one hand it lowers it on the other hand it's increasing kind of a seesaw teeter-totter effect then what do you make of that give them that on one hand it lowers and the other had it increases and now it's increasing even more,maybe I need to find some other way to deal with my stress
477,maybe I need to find some other way to deal with my stress,yeah imagine you've had some thoughts of that what have you thought of trying
478,yeah imagine you've had some thoughts of that what have you thought of trying,well I've exercised in the past and that helps right now my schedule is kind of out of whack and I just really don't know what to do that's why I came to see dr. Steele I thought maybe he can prescribe me something that would help me you know when I'm feeling overwhelmed
479,well I've exercised in the past and that helps right now my schedule is kind of out of whack and I just really don't know what to do that's why I came to see dr. Steele I thought maybe he can prescribe me something that would help me you know when I'm feeling overwhelmed,and he may be able to I'm not saying that he cannot I'm just imagine that he's concerned that if you continue to drink on the level that you are drinking that whatever he prescribes you there may be an interaction with the to imagine that she's concerned I'm not completely sure so you've had some success in the past with changing behaviors and if you were to decide to make any changes here it sounds like you could drop all that to make those changes how important would it be for you on a scale of 0 through 10 i below the visual here with that if zero is not important tennis is very important to do something about your drinking way
480,and he may be able to I'm not saying that he cannot I'm just imagine that he's concerned that if you continue to drink on the level that you are drinking that whatever he prescribes you there may be an interaction with the to imagine that she's concerned I'm not completely sure so you've had some success in the past with changing behaviors and if you were to decide to make any changes here it sounds like you could drop all that to make those changes how important would it be for you on a scale of 0 through 10 i below the visual here with that if zero is not important tennis is very important to do something about your drinking way,mm-hmm well I mean if if it means that it's increasing my stress and or he's not going to prescribe me anything because of my drinking then it's fairly important maybe about a 7
481,mm-hmm well I mean if if it means that it's increasing my stress and or he's not going to prescribe me anything because of my drinking then it's fairly important maybe about a 7,mm-hmm let's put it up there why do you choose a 7 or a 504
482,mm-hmm let's put it up there why do you choose a 7 or a 504,well again I've got to get things under control you know my kids are depending on me and I've got to go to work to help ease this financial stress and so you know all those responsibilities
483,well again I've got to get things under control you know my kids are depending on me and I've got to go to work to help ease this financial stress and so you know all those responsibilities,there's a lot riding on your decision in what to do this what if anything will bring up too late online on that scale
484,there's a lot riding on your decision in what to do this what if anything will bring up too late online on that scale,um well the you know the risk that you mentioned about the drug interaction I certainly can't afford to you know have any more stress
485,um well the you know the risk that you mentioned about the drug interaction I certainly can't afford to you know have any more stress,yeah so so you choose to lower your stress rather than increase it and if lo and your drinking would have that effect that something be willing to do right now how confident are you that you could do something about your drinking
486,yeah so so you choose to lower your stress rather than increase it and if lo and your drinking would have that effect that something be willing to do right now how confident are you that you could do something about your drinking,I'm pretty confident and you know probably about a seven or eight
487,I'm pretty confident and you know probably about a seven or eight,okay so it's pretty hot up there again and what if what if anything would you choose to do would be to cut down with a bit to quit just in case but
488,okay so it's pretty hot up there again and what if what if anything would you choose to do would be to cut down with a bit to quit just in case but,you know I like I said like a good glass of wine I don't want to quit altogether I'd be willing to try cutting that but you know if it's going to if doctor seal would agree to prescribe me something for the anxiety and it meant that I had to not drink at all I'd be willing to do that at least for a period of time
489,you know I like I said like a good glass of wine I don't want to quit altogether I'd be willing to try cutting that but you know if it's going to if doctor seal would agree to prescribe me something for the anxiety and it meant that I had to not drink at all I'd be willing to do that at least for a period of time,so you'd be willing to stop altogether that's what was indicated by the physician okay so so based on that how ready are you to do anything right now whether it's to cut back whether it is to quit
490,so you'd be willing to stop altogether that's what was indicated by the physician okay so so based on that how ready are you to do anything right now whether it's to cut back whether it is to quit,well again you know if I can get something to help me manage if maybe I can find some other way to deal with the stress then then you know I be pretty ready I again maybe about in on that scale maybe an eighth
491,well again you know if I can get something to help me manage if maybe I can find some other way to deal with the stress then then you know I be pretty ready I again maybe about in on that scale maybe an eighth,okay so that's that's pretty hot there as well it sounds is that you'll be pretty motivated to do something about this right now given your responsibilities given your children relying at this point and just on on lowering anxiety in general it sounds and that's one of your goals as well well I'm pretty confident that once you decide to do whatever it is you decide to do you'll be able to follow through that based on your experience in the past of of making behavior changes imagine some things that you can draw upon what's one thing that you could do imagine you thought of some things might help to lower your stress
492,okay so that's that's pretty hot there as well it sounds is that you'll be pretty motivated to do something about this right now given your responsibilities given your children relying at this point and just on on lowering anxiety in general it sounds and that's one of your goals as well well I'm pretty confident that once you decide to do whatever it is you decide to do you'll be able to follow through that based on your experience in the past of of making behavior changes imagine some things that you can draw upon what's one thing that you could do imagine you thought of some things might help to lower your stress,well I you know the the exercise but again that's that's kind of difficult to fit in right now hoping that dr. seal will prescribe something for me to take when I'm feeling particularly overwhelmed and maybe just having somebody to talk to to bounce some things off of
493,well I you know the the exercise but again that's that's kind of difficult to fit in right now hoping that dr. seal will prescribe something for me to take when I'm feeling particularly overwhelmed and maybe just having somebody to talk to to bounce some things off of,one of the things we can't offer here is for you to come in and talk to one of our behavioral health specialists may be able to help you talk talk through this there's a terrible stress and sound like responsibility there and we can make a point for you if you like before you leave today dad talk to someone
494,one of the things we can't offer here is for you to come in and talk to one of our behavioral health specialists may be able to help you talk talk through this there's a terrible stress and sound like responsibility there and we can make a point for you if you like before you leave today dad talk to someone,that'd be nice
495,that'd be nice,right it also has some information here if you're interested some a pamphlet on alcohol and and how what healthy limits are and how it may be affected by medications that you took as well and I wish you lots of luck it sounds as though you really committed to making this shift in this change and imagined doctors still wanna fight with you and see how you do with your with your change within a few weeks again I look forward to speaking to in the future
496,right it also has some information here if you're interested some a pamphlet on alcohol and and how what healthy limits are and how it may be affected by medications that you took as well and I wish you lots of luck it sounds as though you really committed to making this shift in this change and imagined doctors still wanna fight with you and see how you do with your with your change within a few weeks again I look forward to speaking to in the future,all right thank you very much
497,all right thank you very much,you're welcome
498,you're welcome,so Chris they wanted to talk to you you know you're one of our starter athletes of really value you as a team player as athletic director one of my job's is to kind of keep tabs on the players and make sure everybody is performing at their best and something came up this weekend I've been hearing some chatter about a big party that went down and I understand you were there and so I wanted to talk to you a little bit about how partying and alcohol fits in your life right now
499,so Chris they wanted to talk to you you know you're one of our starter athletes of really value you as a team player as athletic director one of my job's is to kind of keep tabs on the players and make sure everybody is performing at their best and something came up this weekend I've been hearing some chatter about a big party that went down and I understand you were there and so I wanted to talk to you a little bit about how partying and alcohol fits in your life right now,okay Oh actually could I confide something in you that has been bothering me lately well prior to that party like as you know I'm an honor student and my parents did keep me very like kept down out of the lake so like social life and about a month ago my friends they invited me into a party and I used the fact that all I'm always doing my homework and always studying that to allow me to go to the party and um well that party I managed to convince my parents that I would spend the night at my friend's house so I that's when I started drinking it was a unique experience as you could say I guess you can say and I don't know I was fun at least in the moment so I kept doing it then this past weekend instead of studying for an exam I asked my I begged my mom to let me go to another party and she kind of knew what I was doing she asked me to like to promise her no alcohol no drugs man I'll pick you up by 12 and I was surprised twelve was told us basically when the party starts but I told her whatever I thought I thought to myself that I'll come home figure out to delay her call me pick me up later so later so she I promise she dropped me off I promised her no alcohol no nothing so we go I have fun like I've been having and I was drinking and then it's time the time came for her to pick me up and as soon I couldn't delay her for pick me up and as soon as she picked me up and I step in the car she said you drank vodka and I'm like I I didn't know what to say I just looked at the floor and I feel terrible because I I betrayed my mother I broke my trust with her that she expected me not to indulge in alcohol and that's exactly what I did
500,so here you are you're an honor student you're star athlete you've kind of been doing everything you've been told for all these years and maybe last month sometime you started getting more involved in the party scene and it was fun at first but now you're already noticing some consequence,right like I've been noticing I've been more lethargic and apathetic towards schoolwork I haven't really I kind of just sit in class like my mind is elsewhere especially on the weekends we're instead about instead of studying I'm caught up with my friends trying to find what we can I get alcohol based on their age and stuff like that
501,it's really changed your focus yeah what do you like about drinking,I don't know it it's I'm a very reserved person for the most part not well not when I'm doing sports but like you know like a social environment I tend to keep to myself because I'm very self-conscious I would say and when I when I drink I feel I don't know like it relaxes me I'm able to talk or engage with other people more easily
502,so helps you kind of used to not feel more relaxed,exactly
503,exactly,sounds like you're noticing quite a few not so good things about alcohol though mom got mad at you you're having decreased focus you're kind of not doing so well in school maybe
504,sounds like you're noticing quite a few not so good things about alcohol though mom got mad at you you're having decreased focus you're kind of not doing so well in school maybe,China
505,China,any other things
506,any other things,just different group of friends of group of girlfriends thank you different people that I'm hanging out with because certain people are associated with that type of so that's that that's also changed
507,so your your friends that you were hanging out with there's a little tension there now,a little bit because not all of them are into that so like I'm in one group of friends and I would talk to another person there's another group of friends and they just happened to invite me to that first party so since then I've been hanging out more with them getting to know them but I could also see that oh I'm just living life I guess but that's also not fair to them that I'm not there for them as much as it was before
508,a little bit because not all of them are into that so like I'm in one group of friends and I would talk to another person there's another group of friends and they just happened to invite me to that first party so since then I've been hanging out more with them getting to know them but I could also see that oh I'm just living life I guess but that's also not fair to them that I'm not there for them as much as it was before,okay
509,okay,as they are there for me
510,as they are there for me,well given that you've sort of noticed all these changes where it's affecting your friendships it's affecting your studying it's affecting your relationship with your mom where do you think you should to kind of go from here
511,well given that you've sort of noticed all these changes where it's affecting your friendships it's affecting your studying it's affecting your relationship with your mom where do you think you should to kind of go from here,oh I feel I should just stop I mean like I'm not not unrealistic I understand that situations like this will happen
512,oh I feel I should just stop I mean like I'm not not unrealistic I understand that situations like this will happen,mm-hmm
513,mm-hmm,it's just up to me not to take it so far where I can't remember the night before or if I'm puking all I remember is the toilet that's that's not worth it either and I have to slowly build back my trust with my mother because that was that's a big blow it's little I guess it may seem to other people like created it it's a big thing
514,it's just up to me not to take it so far where I can't remember the night before or if I'm puking all I remember is the toilet that's that's not worth it either and I have to slowly build back my trust with my mother because that was that's a big blow it's little I guess it may seem to other people like created it it's a big thing,your mom is really important to you
515,your mom is really important to you,of course
516,of course,and how she feels about you is important
517,and how she feels about you is important,exactly
518,exactly,how important is it to you to make an adjustment in your drinking or even to quit
519,how important is it to you to make an adjustment in your drinking or even to quit,a lot at this point because I feel that's a big factor with gaining back my trust with my mother and also getting back on top of my schoolwork again my athletics - okay I feel that there's a feature in that
520,a lot at this point because I feel that's a big factor with gaining back my trust with my mother and also getting back on top of my schoolwork again my athletics - okay I feel that there's a feature in that,how confident are you that you could actually change or you're drinking or even cut down or quit
521,how confident are you that you could actually change or you're drinking or even cut down or quit,I'm pretty confident especially
522,I'm pretty confident especially,on a scale of 1 to 10 where one is not at all antennas completely when
523,on a scale of 1 to 10 where one is not at all antennas completely when,I'm probably like an eighth of nine I mean I can't be a ten just nothing's a 10 in life I feel like there's too many factors but I feel like I'm determined
524,I'm probably like an eighth of nine I mean I can't be a ten just nothing's a 10 in life I feel like there's too many factors but I feel like I'm determined,- why'd you say 8 or 9 rather than 6 or 7
525,- why'd you say 8 or 9 rather than 6 or 7,because I don't know I feel - turn to determine - to make sure this happens because I don't like how I felt after I betrayed my mother I don't like remembering that the feeling of like vomiting it's not a pleasant experience it-it's not something that I wish to enjoy so even if I do drink I don't want to drink to the point where that happens like all the fun that I have then prior to that it's not worth it's not worth drinking
526,because I don't know I feel - turn to determine - to make sure this happens because I don't like how I felt after I betrayed my mother I don't like remembering that the feeling of like vomiting it's not a pleasant experience it-it's not something that I wish to enjoy so even if I do drink I don't want to drink to the point where that happens like all the fun that I have then prior to that it's not worth it's not worth drinking,all right what do you think's a realistic goal for you then
527,all right what do you think's a realistic goal for you then,to make sure I have my studies well first try to get get back my trust with my mother then just focus on my studies then if I have time I need your time like oh I'll go party with my friends and just be as I party with them doesn't mean I have to drink and I do one cup is not gonna do anything to my life either but I'd prefer not to do that I prefer just make sure
